species,x,y
agaros,-1.2086,44.8725
agaros,-1.12527,44.8725
agaros,-1.2086,44.7891
agaros,6.70807,43.4558
agaros,6.7914,43.4558
agaros,6.70807,43.3725
agaros,7.0414,43.6225
acrcri,-3.87527,43.3725
acrcri,-9.37527,38.7058
acrcri,-9.29193,38.7058
acrcri,-9.2086,38.7058
acrcri,-9.04193,38.7058
acrcri,-8.9586,38.7058
acrcri,-9.2086,38.6225
acrcri,-9.12527,38.6225
acrcri,-9.04193,38.6225
acrcri,-8.9586,38.6225
acrcri,-8.87527,38.5391
acrcri,-9.12527,38.4558
acrcri,-7.9586,38.4558
acrtri,-8.79193,42.7058
acrtri,-8.7086,42.7058
acrtri,-1.7086,42.7058
acrtri,-8.7086,42.6225
acrtri,-8.54193,42.2058
acrtri,-8.79193,41.7058
acrtri,2.12473,41.5391
acrtri,2.20807,41.5391
acrtri,1.95807,41.2891
acrtri,2.0414,41.2891
acrtri,3.0414,39.6225
acrtri,3.20807,39.5391
acrtri,2.87473,39.4558
acrtri,-9.4586,38.7058
acrtri,-9.37527,38.7058
acrtri,-9.2086,38.7058
acrtri,-9.04193,38.7058
acrtri,-9.12527,38.6225
acrtri,-9.04193,38.6225
acrtri,-9.04193,38.5391
acrtri,-6.2086,37.3725
acrtri,-6.54193,37.1225
acrtri,-4.87527,36.6225
acrtri,-4.87527,36.5391
agafis,-1.2086,44.7891
agafis,7.37473,43.7891
agafis,7.2914,43.7058
agafis,7.0414,43.6225
agafis,12.2081,43.4558
agafis,12.2914,43.4558
agaper,-1.2086,44.8725
agaper,-1.12527,44.8725
agaper,-1.2086,44.7891
agaper,7.20807,43.7058
agaper,7.2914,43.7058
agaper,5.37473,43.3725
agaper,5.45807,43.3725
agaper,5.37473,43.2891
agaper,5.45807,43.2891
amaama,12.4581,44.9558
amaama,10.3747,43.8725
amaama,10.3747,43.7891
amaama,10.6247,43.7891
amaama,10.7914,43.7891
amaama,-2.9586,43.2891
amaama,3.12473,42.2891
amaama,2.7914,41.9558
amaama,2.70807,41.7891
amaama,2.7914,41.7058
amaama,2.2914,41.6225
amaama,2.37473,41.6225
amaama,0.624734,41.5391
amaama,2.2914,41.5391
amaama,2.37473,41.5391
amaama,2.20807,41.4558
amaama,1.95807,41.3725
amaama,2.0414,41.3725
amaama,2.12473,41.3725
amaama,2.0414,41.2891
amaama,-3.79193,41.2058
amaama,-3.7086,41.2058
amaama,-3.54193,40.4558
amaama,-3.4586,40.4558
amaama,-3.9586,40.3725
amaama,-3.54193,40.3725
amaama,-3.4586,40.3725
amaama,-3.54193,40.2891
amaama,-3.4586,40.2891
amaama,-3.62527,40.2058
amaama,-3.54193,40.2058
amaama,-6.62527,40.1225
amaama,-3.62527,40.1225
amaama,-3.54193,40.1225
amaama,-3.4586,40.1225
amaama,-6.7086,40.0391
amaama,-6.62527,40.0391
amaama,-6.37527,40.0391
amaama,-6.29193,40.0391
amaama,-6.2086,40.0391
amaama,-3.7086,40.0391
amaama,-3.62527,40.0391
amaama,-6.4586,39.9558
amaama,-6.37527,39.9558
amaama,-6.29193,39.9558
amaama,-6.2086,39.9558
amaama,-5.79193,39.9558
amaama,-5.7086,39.9558
amaama,-4.87527,39.9558
amaama,-4.79193,39.9558
amaama,-3.79193,39.9558
amaama,-3.7086,39.9558
amaama,-3.62527,39.9558
amaama,-7.12527,39.8725
amaama,-6.37527,39.8725
amaama,-5.7086,39.8725
amaama,-5.62527,39.8725
amaama,-5.54193,39.8725
amaama,-5.7086,39.7891
amaama,-5.12527,39.7891
amaama,-5.04193,39.7891
amaama,-4.9586,39.7891
amaama,-4.2086,39.7891
amaama,3.12473,39.7891
amaama,-0.291933,39.7058
amaama,-0.541933,39.5391
amaama,-0.458599,39.5391
amaama,-0.375266,39.5391
amaama,-6.37527,39.4558
amaama,-8.54193,39.3725
amaama,-6.37527,39.3725
amaama,-5.87527,39.3725
amaama,-5.7086,39.3725
amaama,-5.7086,39.2058
amaama,-5.62527,39.2058
amaama,-5.4586,39.2058
amaama,-8.62527,39.1225
amaama,-8.4586,39.1225
amaama,-7.04193,39.1225
amaama,-6.04193,39.1225
amaama,-5.87527,39.1225
amaama,-5.79193,39.1225
amaama,-5.7086,39.1225
amaama,-5.62527,39.1225
amaama,-5.54193,39.1225
amaama,-5.4586,39.1225
amaama,-5.12527,39.1225
amaama,-8.7086,39.0391
amaama,-6.87527,39.0391
amaama,-6.04193,39.0391
amaama,-5.9586,39.0391
amaama,-5.79193,39.0391
amaama,-5.7086,39.0391
amaama,-5.62527,39.0391
amaama,-8.9586,38.9558
amaama,-8.54193,38.9558
amaama,-8.37527,38.9558
amaama,-7.04193,38.9558
amaama,-6.9586,38.9558
amaama,-6.87527,38.9558
amaama,-6.54193,38.9558
amaama,-6.4586,38.9558
amaama,-6.37527,38.9558
amaama,-6.29193,38.9558
amaama,-6.12527,38.9558
amaama,-6.04193,38.9558
amaama,-5.9586,38.9558
amaama,-5.87527,38.9558
amaama,-5.7086,38.9558
amaama,-5.62527,38.9558
amaama,-5.4586,38.9558
amaama,-8.9586,38.8725
amaama,-8.87527,38.8725
amaama,-8.79193,38.8725
amaama,-7.12527,38.8725
amaama,-7.04193,38.8725
amaama,-6.9586,38.8725
amaama,-6.87527,38.8725
amaama,-6.79193,38.8725
amaama,-6.7086,38.8725
amaama,-6.62527,38.8725
amaama,-6.37527,38.8725
amaama,-6.29193,38.8725
amaama,-6.2086,38.8725
amaama,-8.54193,38.7891
amaama,-7.2086,38.7891
amaama,-7.12527,38.7891
amaama,-6.29193,38.7891
amaama,-6.2086,38.7891
amaama,-5.4586,38.7891
amaama,-8.9586,38.7058
amaama,-8.87527,38.7058
amaama,-6.62527,38.7058
amaama,-6.12527,38.7058
amaama,-9.2086,38.6225
amaama,-8.7086,38.6225
amaama,-7.4586,38.6225
amaama,-7.37527,38.6225
amaama,-8.7086,38.4558
amaama,-8.54193,38.4558
amaama,-7.79193,38.4558
amaama,-7.7086,38.4558
amaama,-8.54193,38.3725
amaama,-8.4586,38.3725
amaama,-6.62527,38.3725
amaama,-6.54193,38.3725
amaama,-8.37527,38.2891
amaama,-8.2086,38.2891
amaama,-6.79193,38.2891
amaama,-8.29193,38.2058
amaama,-8.04193,38.2058
amaama,-6.79193,38.2058
amaama,-0.625266,38.2058
amaama,-8.79193,38.1225
amaama,-8.2086,38.1225
amaama,-8.04193,38.1225
amaama,-0.791933,38.1225
amaama,-6.79193,38.0391
amaama,-0.791933,37.8725
amaama,-5.54193,37.7058
amaama,-5.4586,37.7058
amaama,-8.7086,37.6225
amaama,-5.79193,37.6225
amaama,-5.7086,37.6225
amaama,-7.4586,37.5391
amaama,-7.29193,37.5391
amaama,-7.2086,37.5391
amaama,-6.2086,37.5391
amaama,-6.12527,37.5391
amaama,-6.04193,37.5391
amaama,-5.9586,37.5391
amaama,-5.9586,37.3725
amaama,-6.04193,37.2891
amaama,-5.9586,37.2891
amaama,-6.04193,37.2058
amaama,-3.62527,37.2058
amaama,-6.4586,37.1225
amaama,-6.2086,37.1225
amaama,-6.12527,37.1225
amaama,-6.04193,37.1225
amaama,-5.79193,37.1225
amaama,-3.54193,37.1225
amaama,-6.37527,37.0391
amaama,-5.79193,37.0391
amaama,-3.7086,37.0391
amaama,-3.62527,37.0391
amaama,-4.87527,36.8725
amaama,-4.79193,36.8725
amaama,-4.7086,36.7891
amaama,-4.4586,36.7891
amaama,-4.37527,36.7891
amaama,-4.12527,36.7891
amaama,-4.04193,36.7891
amaama,-3.54193,36.7891
amaama,-3.04193,36.7891
amaama,-4.54193,36.7058
amaama,-4.4586,36.7058
amaama,-3.4586,36.7058
amaama,-4.54193,36.6225
amaama,-4.62527,36.5391
amaama,-5.9586,36.2891
amaama,-5.37527,36.2058
amaama,-5.7086,36.1225
amaama,-5.62527,36.1225
amaama,-5.4586,36.1225
araacu,-0.0419328,51.4558
araacu,-0.0419328,51.3725
araacu,-0.125266,51.2891
araacu,2.70807,41.8725
araacu,2.95807,41.7891
araacu,2.20807,41.6225
araacu,1.95807,41.5391
araacu,2.12473,41.5391
araacu,2.20807,41.5391
araacu,1.95807,41.4558
araacu,2.12473,41.4558
araacu,2.20807,41.4558
araacu,1.7914,41.3725
araacu,1.87473,41.3725
araacu,2.0414,41.3725
araacu,2.12473,41.3725
araacu,1.95807,41.2891
araacu,2.0414,41.2891
araacu,0.791401,40.7058
araacu,-3.9586,40.3725
araacu,-3.87527,40.3725
araacu,-3.79193,40.3725
araacu,-3.62527,40.3725
araacu,-3.79193,40.2891
araacu,-3.7086,40.2891
araacu,-9.2086,38.7891
araacu,-9.12527,38.7891
araacu,-9.37527,38.7058
araacu,-9.29193,38.7058
araacu,-9.2086,38.7058
araacu,-7.9586,38.5391
araacu,-1.37527,38.4558
araacu,-1.29193,38.4558
araacu,-1.37527,38.3725
araacu,-1.29193,38.3725
araacu,-0.958599,38.2891
araacu,-0.958599,38.2058
araacu,-1.12527,37.9558
araacu,-6.2086,37.3725
araacu,-5.9586,37.3725
araacu,-4.54193,36.6225
chrpic,-2.37527,57.4558
chrpic,-2.2086,57.2058
chrpic,-3.37527,56.0391
chrpic,-3.62527,55.8725
chrpic,-2.9586,54.8725
chrpic,-1.4586,54.0391
chrpic,-2.9586,53.7891
chrpic,-2.29193,53.7058
chrpic,-1.79193,53.5391
chrpic,-2.2086,53.3725
chrpic,-2.04193,53.3725
chrpic,-2.54193,53.1225
chrpic,-4.04193,52.9558
chrpic,0.541401,52.9558
chrpic,0.624734,52.9558
chrpic,0.874734,52.9558
chrpic,0.958067,52.9558
chrpic,1.0414,52.9558
chrpic,0.541401,52.8725
chrpic,0.624734,52.8725
chrpic,0.708067,52.8725
chrpic,0.791401,52.8725
chrpic,0.874734,52.8725
chrpic,1.20807,52.8725
chrpic,-2.9586,52.7891
chrpic,0.374734,52.7891
chrpic,0.458067,52.7891
chrpic,1.5414,52.7891
chrpic,0.624734,52.7058
chrpic,1.20807,52.7058
chrpic,1.45807,52.7058
chrpic,-2.9586,52.6225
chrpic,0.458067,52.6225
chrpic,0.541401,52.6225
chrpic,0.624734,52.6225
chrpic,0.874734,52.6225
chrpic,1.0414,52.6225
chrpic,1.2914,52.6225
chrpic,0.291401,52.5391
chrpic,0.708067,52.5391
chrpic,0.791401,52.5391
chrpic,0.874734,52.5391
chrpic,-1.2086,52.4558
chrpic,0.541401,52.4558
chrpic,0.624734,52.4558
chrpic,0.708067,52.4558
chrpic,0.791401,52.4558
chrpic,0.874734,52.4558
chrpic,1.5414,52.4558
chrpic,1.62473,52.4558
chrpic,-3.79193,52.3725
chrpic,0.541401,52.3725
chrpic,0.624734,52.3725
chrpic,0.708067,52.3725
chrpic,0.791401,52.3725
chrpic,0.874734,52.3725
chrpic,0.291401,52.2891
chrpic,0.624734,52.2891
chrpic,0.708067,52.2891
chrpic,0.791401,52.2891
chrpic,1.62473,52.2891
chrpic,0.124734,52.2058
chrpic,1.2914,52.2058
chrpic,1.12473,52.1225
chrpic,1.5414,52.1225
chrpic,-4.37527,52.0391
chrpic,-4.29193,52.0391
chrpic,0.958067,52.0391
chrpic,1.12473,52.0391
chrpic,1.20807,52.0391
chrpic,-0.708599,51.9558
chrpic,-4.7086,51.7058
chrpic,-3.9586,51.7058
chrpic,-3.37527,51.7058
chrpic,-3.9586,51.6225
chrpic,-3.7086,51.6225
chrpic,-3.62527,51.6225
chrpic,-3.37527,51.6225
chrpic,-3.29193,51.6225
chrpic,-2.37527,51.6225
chrpic,-0.458599,51.6225
chrpic,-0.291933,51.4558
chrpic,-1.04193,51.2891
chrpic,-0.791933,50.9558
chrpic,-1.62527,50.8725
chrpic,-0.875266,50.8725
chrpic,0.0414006,50.8725
chrpic,-0.791933,50.7891
chrpic,-3.79193,50.2891
estast,-8.4586,43.2891
estast,-8.87527,43.2058
estast,-9.04193,43.1225
estast,-8.9586,42.8725
estast,-8.9586,42.7891
estast,-8.87527,42.7891
estast,-8.7086,42.7891
estast,-8.79193,42.7058
estast,-8.7086,42.7058
estast,-9.04193,42.6225
estast,-8.9586,42.6225
estast,-8.7086,42.6225
estast,-8.4586,42.6225
estast,-7.62527,42.5391
estast,-8.79193,42.4558
estast,-8.62527,42.4558
estast,-8.7086,42.3725
estast,-8.54193,42.3725
estast,-8.79193,42.2891
estast,-8.7086,42.2891
estast,-8.62527,42.2891
estast,-8.54193,42.2891
estast,-8.12527,42.2891
estast,-8.7086,42.2058
estast,-8.62527,42.2058
estast,-8.54193,42.2058
estast,-8.4586,42.2058
estast,-8.29193,42.2058
estast,-8.79193,42.1225
estast,-8.7086,42.1225
estast,-8.54193,42.1225
estast,-8.4586,42.1225
estast,-8.29193,42.1225
estast,-8.2086,42.1225
estast,-8.79193,42.0391
estast,-8.7086,42.0391
estast,-8.62527,42.0391
estast,-8.54193,42.0391
estast,-8.4586,42.0391
estast,-8.37527,42.0391
estast,2.62473,42.0391
estast,3.0414,42.0391
estast,-8.79193,41.9558
estast,-8.7086,41.9558
estast,1.87473,41.9558
estast,1.95807,41.9558
estast,2.7914,41.9558
estast,-8.79193,41.8725
estast,-8.62527,41.8725
estast,2.87473,41.8725
estast,-8.79193,41.7891
estast,-8.7086,41.7891
estast,-8.62527,41.7891
estast,-8.54193,41.7891
estast,-8.4586,41.7891
estast,-7.4586,41.7891
estast,0.791401,41.7891
estast,2.70807,41.7891
estast,2.95807,41.7891
estast,-8.79193,41.7058
estast,-8.7086,41.7058
estast,-8.62527,41.7058
estast,-8.54193,41.7058
estast,-8.4586,41.7058
estast,-8.37527,41.7058
estast,0.708067,41.7058
estast,1.87473,41.7058
estast,2.0414,41.7058
estast,2.20807,41.7058
estast,2.2914,41.7058
estast,2.5414,41.7058
estast,2.62473,41.7058
estast,2.70807,41.7058
estast,2.7914,41.7058
estast,2.87473,41.7058
estast,-8.79193,41.6225
estast,-8.7086,41.6225
estast,-8.62527,41.6225
estast,-8.4586,41.6225
estast,-8.29193,41.6225
estast,-8.2086,41.6225
estast,-8.12527,41.6225
estast,1.87473,41.6225
estast,1.95807,41.6225
estast,2.0414,41.6225
estast,2.12473,41.6225
estast,2.20807,41.6225
estast,2.2914,41.6225
estast,2.37473,41.6225
estast,2.45807,41.6225
estast,2.5414,41.6225
estast,-8.7086,41.5391
estast,-8.62527,41.5391
estast,-8.54193,41.5391
estast,-8.4586,41.5391
estast,-8.37527,41.5391
estast,-8.29193,41.5391
estast,-8.12527,41.5391
estast,-7.9586,41.5391
estast,-7.2086,41.5391
estast,1.87473,41.5391
estast,1.95807,41.5391
estast,2.0414,41.5391
estast,2.12473,41.5391
estast,2.20807,41.5391
estast,2.2914,41.5391
estast,2.37473,41.5391
estast,-8.7086,41.4558
estast,-8.54193,41.4558
estast,-8.29193,41.4558
estast,-8.12527,41.4558
estast,-7.87527,41.4558
estast,-7.2086,41.4558
estast,-7.12527,41.4558
estast,0.291401,41.4558
estast,0.374734,41.4558
estast,0.458067,41.4558
estast,1.95807,41.4558
estast,2.0414,41.4558
estast,2.12473,41.4558
estast,2.20807,41.4558
estast,-8.7086,41.3725
estast,-8.62527,41.3725
estast,-8.54193,41.3725
estast,-8.4586,41.3725
estast,-8.2086,41.3725
estast,-7.9586,41.3725
estast,-7.7086,41.3725
estast,-7.62527,41.3725
estast,-7.04193,41.3725
estast,-6.9586,41.3725
estast,-6.87527,41.3725
estast,0.208067,41.3725
estast,1.95807,41.3725
estast,2.0414,41.3725
estast,2.12473,41.3725
estast,-8.7086,41.2891
estast,-8.62527,41.2891
estast,-8.4586,41.2891
estast,-8.37527,41.2891
estast,-8.29193,41.2891
estast,-7.79193,41.2891
estast,-7.7086,41.2891
estast,-7.62527,41.2891
estast,-7.54193,41.2891
estast,-7.37527,41.2891
estast,-7.12527,41.2891
estast,1.87473,41.2891
estast,1.95807,41.2891
estast,2.0414,41.2891
estast,-8.7086,41.2058
estast,-8.62527,41.2058
estast,-8.54193,41.2058
estast,-8.2086,41.2058
estast,-8.12527,41.2058
estast,-7.79193,41.2058
estast,-7.7086,41.2058
estast,-7.54193,41.2058
estast,-7.37527,41.2058
estast,-7.12527,41.2058
estast,-7.04193,41.2058
estast,-6.9586,41.2058
estast,1.37473,41.2058
estast,1.5414,41.2058
estast,-8.62527,41.1225
estast,-8.54193,41.1225
estast,-8.37527,41.1225
estast,-8.29193,41.1225
estast,-7.87527,41.1225
estast,-7.79193,41.1225
estast,-7.7086,41.1225
estast,-7.62527,41.1225
estast,-7.54193,41.1225
estast,-7.37527,41.1225
estast,-7.2086,41.1225
estast,-7.12527,41.1225
estast,-6.9586,41.1225
estast,1.20807,41.1225
estast,-7.79193,41.0391
estast,-7.12527,41.0391
estast,-7.04193,41.0391
estast,-6.9586,41.0391
estast,-6.87527,41.0391
estast,-8.62527,40.9558
estast,-8.29193,40.9558
estast,-8.62527,40.8725
estast,-8.4586,40.8725
estast,-8.04193,40.8725
estast,-8.62527,40.7891
estast,-8.54193,40.7891
estast,-8.4586,40.7891
estast,-8.12527,40.7891
estast,-7.79193,40.7891
estast,-8.62527,40.7058
estast,-8.54193,40.7058
estast,-8.12527,40.7058
estast,-8.7086,40.6225
estast,-8.62527,40.6225
estast,-8.54193,40.6225
estast,-8.12527,40.6225
estast,-8.04193,40.6225
estast,-7.9586,40.6225
estast,-7.87527,40.6225
estast,-7.79193,40.6225
estast,-7.7086,40.6225
estast,-7.54193,40.6225
estast,-7.4586,40.6225
estast,-7.37527,40.6225
estast,-8.7086,40.5391
estast,-8.62527,40.5391
estast,-8.54193,40.5391
estast,-8.04193,40.5391
estast,-7.79193,40.5391
estast,-7.62527,40.5391
estast,-7.54193,40.5391
estast,-8.79193,40.4558
estast,-8.7086,40.4558
estast,-8.62527,40.4558
estast,-7.7086,40.4558
estast,-7.62527,40.4558
estast,-7.54193,40.4558
estast,-8.54193,40.3725
estast,-8.4586,40.3725
estast,-8.04193,40.3725
estast,-7.9586,40.3725
estast,-7.29193,40.3725
estast,0.374734,40.3725
estast,-8.79193,40.2891
estast,-8.54193,40.2891
estast,-8.4586,40.2891
estast,-8.37527,40.2891
estast,-8.7086,40.2058
estast,-8.62527,40.2058
estast,-8.54193,40.2058
estast,-8.4586,40.2058
estast,-8.29193,40.2058
estast,-8.04193,40.2058
estast,-7.9586,40.2058
estast,-7.4586,40.2058
estast,-5.9586,40.2058
estast,-8.79193,40.1225
estast,-8.7086,40.1225
estast,-8.62527,40.1225
estast,-8.54193,40.1225
estast,-8.4586,40.1225
estast,-8.29193,40.1225
estast,-8.2086,40.1225
estast,-8.12527,40.1225
estast,-7.12527,40.1225
estast,-7.04193,40.1225
estast,-8.7086,40.0391
estast,-8.62527,40.0391
estast,-8.54193,40.0391
estast,-8.4586,40.0391
estast,-8.37527,40.0391
estast,-8.87527,39.9558
estast,-8.7086,39.9558
estast,-8.37527,39.9558
estast,-7.4586,39.9558
estast,-7.2086,39.9558
estast,-7.12527,39.9558
estast,-5.29193,39.9558
estast,-0.291933,39.9558
estast,-0.208599,39.9558
estast,-0.0419328,39.9558
estast,-8.9586,39.8725
estast,-8.87527,39.8725
estast,-8.62527,39.8725
estast,-8.54193,39.8725
estast,-8.4586,39.8725
estast,-8.37527,39.8725
estast,-8.12527,39.8725
estast,-7.29193,39.8725
estast,-7.2086,39.8725
estast,-7.12527,39.8725
estast,-5.7086,39.8725
estast,-0.125266,39.8725
estast,-8.87527,39.7891
estast,-8.79193,39.7891
estast,-8.54193,39.7891
estast,-8.4586,39.7891
estast,-8.29193,39.7891
estast,-8.04193,39.7891
estast,-6.04193,39.7891
estast,-0.291933,39.7891
estast,-0.208599,39.7891
estast,3.0414,39.7891
estast,3.12473,39.7891
estast,-8.87527,39.7058
estast,-8.79193,39.7058
estast,-8.7086,39.7058
estast,-8.62527,39.7058
estast,-8.54193,39.7058
estast,-8.4586,39.7058
estast,-8.37527,39.7058
estast,-8.29193,39.7058
estast,-8.12527,39.7058
estast,-7.62527,39.7058
estast,-7.54193,39.7058
estast,-7.37527,39.7058
estast,-7.29193,39.7058
estast,-0.291933,39.7058
estast,-0.208599,39.7058
estast,-9.04193,39.6225
estast,-8.9586,39.6225
estast,-8.87527,39.6225
estast,-8.79193,39.6225
estast,-8.54193,39.6225
estast,-8.4586,39.6225
estast,-8.37527,39.6225
estast,-8.29193,39.6225
estast,-8.2086,39.6225
estast,-8.12527,39.6225
estast,-7.7086,39.6225
estast,-7.54193,39.6225
estast,-0.541933,39.6225
estast,-0.458599,39.6225
estast,-9.04193,39.5391
estast,-8.9586,39.5391
estast,-8.7086,39.5391
estast,-8.62527,39.5391
estast,-8.54193,39.5391
estast,-8.4586,39.5391
estast,-8.37527,39.5391
estast,-8.29193,39.5391
estast,-8.12527,39.5391
estast,-8.04193,39.5391
estast,-7.9586,39.5391
estast,-7.87527,39.5391
estast,-7.62527,39.5391
estast,-7.54193,39.5391
estast,-7.4586,39.5391
estast,-6.62527,39.5391
estast,-6.37527,39.5391
estast,-5.79193,39.5391
estast,-0.541933,39.5391
estast,-0.458599,39.5391
estast,-0.375266,39.5391
estast,2.45807,39.5391
estast,2.5414,39.5391
estast,-9.2086,39.4558
estast,-9.12527,39.4558
estast,-9.04193,39.4558
estast,-8.9586,39.4558
estast,-8.87527,39.4558
estast,-8.79193,39.4558
estast,-8.7086,39.4558
estast,-8.54193,39.4558
estast,-8.4586,39.4558
estast,-8.37527,39.4558
estast,-8.29193,39.4558
estast,-8.2086,39.4558
estast,-8.12527,39.4558
estast,-8.04193,39.4558
estast,-7.9586,39.4558
estast,-7.54193,39.4558
estast,-7.4586,39.4558
estast,-7.37527,39.4558
estast,-7.29193,39.4558
estast,-6.37527,39.4558
estast,-6.2086,39.4558
estast,-4.2086,39.4558
estast,-0.458599,39.4558
estast,-0.375266,39.4558
estast,-9.29193,39.3725
estast,-9.2086,39.3725
estast,-9.12527,39.3725
estast,-9.04193,39.3725
estast,-8.9586,39.3725
estast,-8.87527,39.3725
estast,-8.7086,39.3725
estast,-8.62527,39.3725
estast,-8.54193,39.3725
estast,-8.4586,39.3725
estast,-8.37527,39.3725
estast,-8.29193,39.3725
estast,-8.12527,39.3725
estast,-8.04193,39.3725
estast,-7.9586,39.3725
estast,-7.87527,39.3725
estast,-7.79193,39.3725
estast,-7.7086,39.3725
estast,-7.62527,39.3725
estast,-7.54193,39.3725
estast,-7.4586,39.3725
